shortname,ut-01,ut-02,ut-03,LPS-1,LPS-2,LPS-3,LN-10-1,LN-10-2,LN-10-3,LN-25-1,LN-25-2,LN-25-3,LN-1H-1,LN-1H-2,LN-1H-3,LN-25-MBCD-1,LN-25-MBCD-2,LN-25-MBCD-3,LN-25-MYRO-1,LN-25-MYRO-2,LN-25-MYRO-3,LN-25-DHA-1,LN-25-DHA-2,LN-25-DHA-3,hUT-1,hUT-2,hUT-3,h30-1,h30-2,h30-3,h1h-1,h1h-2,h1h-3,h2h-1,h2h-2,h2h-3,g- UT-1,g- UT-2,g- UT-3,g- 30-1,g- 30-2,g- 30-3,g- 1h-1,g- 1h-2,g- 1h-2,g- 2h-1,g- 2h-2,g- 2h-3
fullname,ut rep1,ut rep2,ut rep3,LPS rep1,LPS rep2,LPS rep3,LN-10 rep1,LN-10 rep2,LN-10 rep3,LN-25 rep1,LN-25 rep2,LN-25 rep3,LN-1H rep1,LN-1H rep2,LN-1H rep3,LN-25-MBCD rep1,LN-25-MBCD rep2,LN-25-MBCD rep3,LN-25-MYRO rep1,LN-25-MYRO rep2,LN-25-MYRO rep3,LN-25-DHA rep1,LN-25-DHA rep2,LN-25-DHA rep3,hUT rep1,hUT rep2,hUT rep3,h30 rep1,h30 rep2,h30 rep3,h1h rep1,h1h rep2,h1h rep3,h2h rep1,h2h rep2,h2h rep3,g- UT rep1,g- UT rep2,g- UT rep3,g- 30 rep1,g- 30 rep2,g- 30 rep3,g- 1h rep1,g- 1h rep2,g- 1h rep3,g- 2h rep1,g- 2h rep2,g- 2h rep3
cohort,ut,ut,ut,LPS,LPS,LPS,LN-10,LN-10,LN-10,LN-25,LN-25,LN-25,LN-1H,LN-1H,LN-1H,LN-25-MBCD,LN-25-MBCD,LN-25-MBCD,LN-25-MYRO,LN-25-MYRO,LN-25-MYRO,LN-25-DHA,LN-25-DHA,LN-25-DHA,hUT,hUT,hUT,h30,h30,h30,h1h,h1h,h1h,h2h,h2h,h2h,g- UT,g- UT,g- UT,g- 30,g- 30,g- 30,g- 1h,g- 1h,g- 1h,g- 2h,g- 2h,g- 2h
